month,trades,wins,losses,win_rate_pct,gross_premium,net_pnl,ret_on_initial_account_pct
2026-01,19,19,0,100.0,1415.11,1390.41,5.56
2026-02,18,16,2,88.9,1587.96,888.96,3.56
2026-03,10,9,1,90.0,1058.45,727.71,2.91
2026-04,19,17,2,89.5,1730.31,934.6,3.74
2026-05,20,20,0,100.0,1718.27,1692.27,6.77
2026-06,21,18,3,85.7,1883.42,1046.4,4.19
2026-07,22,22,0,100.0,1880.01,1851.41,7.41
2026-08,18,16,2,88.9,1433.88,823.44,3.29
