month,trades,wins,losses,win_rate_pct,gross_premium,net_pnl,ret_on_initial_account_pct
2026-01,19,17,2,89.5,2813.3,2206.66,8.83
2026-02,14,7,7,50.0,2446.99,-129.44,-0.52
2026-03,9,8,1,88.9,2051.22,1676.09,6.7
2026-04,20,18,2,90.0,3719.55,2896.54,11.59
2026-05,20,20,0,100.0,3495.61,3443.61,13.77
2026-06,15,9,6,60.0,2579.53,-277.46,-1.11
2026-07,22,18,4,81.8,3849.86,2520.27,10.08
2026-08,18,16,2,88.9,2903.83,2269.97,9.08
