month,trades,wins,losses,win_rate_pct,gross_premium,net_pnl,ret_on_initial_account_pct
2026-01,19,0,19,0.0,645.44,-5352.84,-21.41
2026-02,14,0,14,0.0,649.99,-5607.62,-22.43
2026-03,4,0,4,0.0,234.61,-1730.38,-6.92
