date,equity,daily_pnl,intraday_equity_low
2026-01-02,25073.038629022652,73.03862902265116,24967.95206087834
2026-01-05,25137.45830497285,64.41967595019726,25017.487935728383
2026-01-06,25204.324797857265,66.86649288441579,25071.85154568743
2026-01-07,25266.365016499247,62.04021864198019,25181.279389836083
2026-01-08,25343.522893234254,77.15787673500706,25227.13271499243
2026-01-09,25422.57870215671,79.05580892245389,25262.568352750044
2026-01-12,25490.60521861907,68.0265164623598,25315.079126757577
2026-01-13,25563.895385412838,73.29016679376885,25473.004356468962
2026-01-14,25636.71606546785,72.82068005500896,25544.148322631478
2026-01-15,25711.529330013538,74.81326454569121,25629.4406269002
2026-01-16,25776.96372701299,65.43439699945061,25695.61368598937
2026-01-20,25855.572837481468,78.60911046847782,25676.509960059462
2026-01-21,25947.88413007959,92.31129259812072,25678.98531044514
2026-01-22,26028.26010978883,80.37597970923748,25924.87813435885
2026-01-23,26099.106987608,70.84687781917076,25969.881742460722
2026-01-26,26163.51490030546,64.40791269745951,26024.142074823252
2026-01-27,26243.000451199754,79.4855508942937,26119.44756621353
2026-01-28,26323.170505734306,80.17005453455177,26220.890412635585
2026-01-29,26390.38745320714,67.21694747283131,26305.70783803
2026-02-03,26473.52564152477,83.13818831763122,26368.77390168593
2026-02-04,26557.96353948803,84.43789796325866,26444.59906556724
2026-02-05,26639.064590374997,81.10105088696635,26486.090616028792
2026-02-06,26393.552828895503,-245.51176147949357,26393.552828895503
2026-02-09,26476.14748089646,82.59465200095583,26231.830492872214
2026-02-10,26546.765520461307,70.6180395648466,26440.750512049202
2026-02-11,26631.341471404237,84.5759509429292,26526.119986023594
2026-02-12,26710.574215466913,79.23274406267417,26602.991328228265
2026-02-13,26814.037412906924,103.46319744001057,26637.55127171617
2026-02-17,26902.719667275935,88.68225436901078,26746.79806882682
2026-02-18,26986.923925918767,84.20425864283125,26781.207014992495
2026-02-19,27078.80497665213,91.88105073336096,26925.062209640513
2026-02-20,26839.253984453626,-239.55099219850163,26839.253984453626
2026-02-23,26925.872007400372,86.61802294674665,26783.395420370245
2026-02-24,27015.471859254052,89.59985185368062,26801.798662629426
2026-02-25,27111.646271810565,96.17441255651109,26987.94675864126
2026-02-26,27194.77002294328,83.12375113271806,27106.944695736558
2026-02-27,27279.358241634694,84.58821869141453,27087.342426374697
2026-03-02,27051.81989513357,-227.53834650112518,27051.81989513357
2026-03-03,27146.99730782002,95.17741268645132,26968.08650899128
2026-03-04,27261.987523965363,114.99021614534463,27011.300012396914
2026-03-05,27356.72534927535,94.7378253099891,27169.630887120657
2026-03-06,27465.97230584934,109.24695657398964,27316.950409908204
2026-03-11,27574.885723756295,108.91341790695385,27404.65581250311
2026-03-12,27683.966085616223,109.08036185992735,27560.463382998132
2026-03-17,27789.538455554353,105.57236993813099,27632.596626041344
2026-03-18,27899.348010042424,109.80955448806988,27753.129580975226
2026-03-20,28007.07069999152,107.72268994909446,27891.357880092222
2026-04-02,27553.197196935784,-453.87350305573693,27553.197196935784
2026-04-06,27665.47115569362,112.2739587578372,27443.842198270602
2026-04-07,27777.356566823055,111.88541112943604,27586.2584945369
2026-04-09,27863.672218276493,86.31565145343735,27660.853856703536
2026-04-10,27943.237844957825,79.56562668133166,27847.503857552187
2026-04-13,27829.804202396157,-113.43364256166744,27790.10270586506
2026-04-14,27914.03345605334,84.2292536571825,27693.471470333974
2026-04-15,28002.720214074998,88.6867580216552,27869.768979480432
2026-04-16,28083.035432686927,80.31521861192978,27992.905713396867
2026-04-17,28167.60225525326,84.56682256633378,27945.31893019988
2026-04-20,28240.596102627405,72.99384737414762,28140.39043411887
2026-04-21,28326.32949313769,85.73339051028547,28197.715849596923
2026-04-22,28412.07936296029,85.74986982259595,28288.791171698027
2026-04-23,28497.458870534996,85.37950757470931,28363.99408702672
2026-04-24,28593.04588803766,95.58701750266387,28455.214923942327
2026-04-27,28690.38931558792,97.34342755026042,28559.492353373887
2026-04-28,28771.448724227477,81.05940863955887,28663.615255598677
2026-04-29,28853.44642592661,81.99770169913229,28741.059120077884
2026-04-30,28941.644229683105,88.1978037564955,28847.155587180176
2026-05-01,29019.847215294518,78.20298561141279,28840.297320347967
2026-05-04,29108.31241450825,88.46519921373279,28964.937989832888
2026-05-05,29195.015607647194,86.70319313894261,29060.03246578151
2026-05-06,29279.76794655532,84.75233890812383,29088.476017175268
2026-05-07,29364.600405408954,84.83245885363495,29271.703228579692
2026-05-08,29443.1297061044,78.52930069544534,29297.358152040346
2026-05-11,29533.849994650584,90.72028854618345,29352.881976155055
2026-05-12,29629.05424054789,95.2042458973046,29522.508054530535
2026-05-13,29711.503218192247,82.44897764435912,29586.281410934633
2026-05-14,29797.43232277536,85.92910458311344,29582.070586377868
2026-05-15,29877.63261038669,80.20028761132842,29774.74900832057
2026-05-18,29973.25472720972,95.62211682303207,29836.071491419218
2026-05-19,30058.28361589141,85.02888868168903,29935.07456121949
2026-05-20,30145.330246103927,87.04663021251584,29885.519721184228
2026-05-21,30224.07446646058,78.74422035665482,30071.651871251364
2026-05-22,30307.800395237136,83.72592877655684,30174.205224105528
2026-05-26,30387.382882241924,79.58248700478585,30261.177821839185
2026-05-27,30468.763265832928,81.3803835910057,30372.973903342907
2026-05-28,30547.68028177166,78.91701593873172,30360.09090681855
2026-05-29,30633.922626496857,86.24234472519625,30486.953012208232
2026-06-01,30482.28901363275,-151.633612864105,30482.28901363275
2026-06-02,30555.84565356752,73.55663993476817,30415.150882087382
2026-06-03,30628.325448043266,72.47979447574615,30538.624074488638
2026-06-04,30701.95518844107,73.62974039780063,30544.27062135831
2026-06-05,30771.11328466964,69.15809622856905,30687.732679256118
2026-06-08,30879.2905928773,108.17730820766151,30741.79169061974
2026-06-09,30978.664491577583,99.3738987002849,30787.95709376162
2026-06-10,31082.20670275612,103.54221117853577,30825.9704748098
2026-06-11,31182.472089197832,100.2653864417119,30940.80526924865
2026-06-12,31269.80694912232,87.33485992448841,31112.039174464317
2026-06-15,31359.7169659466,89.91001682428028,31178.243246557377
2026-06-16,31444.624178984795,84.90721303819335,31335.51207350977
2026-06-17,31526.194705109312,81.57052612451771,31421.816287142447
2026-06-18,31623.1625173857,96.9678122763873,31512.429144116093
2026-06-22,31711.86490808669,88.7023907009911,31553.566264687535
2026-06-23,31526.157276429694,-185.70763165699512,31526.157276429694
2026-06-24,31620.945718264953,94.78844183525787,31415.150400694198
2026-06-25,31720.592497085036,99.64677882008239,31606.51985483902
2026-06-26,31496.965918051803,-223.62657903323318,31496.965918051803
2026-06-29,31585.190727656765,88.22480960496144,31406.22595829136
2026-06-30,31680.31941298934,95.12868533257752,31465.623872195436
2026-07-01,31755.089538133154,74.77012514381222,31581.343924478217
2026-07-02,31840.099927697363,85.01038956420992,31639.57042046048
2026-07-06,31926.53301928194,86.43309158457335,31804.701041530316
2026-07-07,31995.6527024077,69.11968312576342,31907.61418875412
2026-07-08,32068.831456507596,73.17875409989433,31952.25968145643
2026-07-09,32156.968504796805,88.13704828920727,32014.863672669668
2026-07-10,32226.890352983057,69.92184818625226,32125.80881456431
2026-07-13,32294.32702715286,67.43667416980436,32191.812093966077
2026-07-14,32378.24861336463,83.92158621177039,32231.348326649502
2026-07-15,32460.886890596204,82.63827723157313,32343.832165188236
2026-07-16,32542.376116439515,81.4892258433111,32417.66501529421
2026-07-17,32621.38211876309,79.00600232357597,32381.529476831216
2026-07-20,32708.777066699793,87.39494793670481,32580.886383677305
2026-07-21,32807.699943109576,98.92287640977948,32672.357668994064
2026-07-22,32883.52013024338,75.82018713380087,32738.72517962487
2026-07-23,32959.372152605094,75.85202236171604,32787.63208544856
2026-07-24,33051.70198306746,92.32983046236491,32850.6614390194
2026-07-27,33152.71743029625,101.0154472287929,33033.505017809606
2026-07-28,33251.213655774925,98.49622547867007,33092.21301563724
