month,trades,wins,losses,win_rate_pct,gross_premium,net_pnl,ret_on_initial_account_pct
2026-01,19,0,19,0.0,1511.46,-6883.59,-27.53
2026-02,12,0,12,0.0,1180.12,-5762.99,-23.05
2026-03,2,0,2,0.0,310.22,-1174.22,-4.7
