month,trades,wins,losses,win_rate_pct,gross_premium,net_pnl,ret_on_initial_account_pct
2026-01,19,0,19,0.0,852.06,-2021.2,-8.08
2026-02,18,1,17,5.6,954.59,-3567.25,-14.27
2026-03,22,0,22,0.0,1550.55,-2893.14,-11.57
2026-04,21,0,21,0.0,1214.63,-1461.05,-5.84
2026-05,8,0,8,0.0,411.49,-702.68,-2.81
2026-06,1,0,1,0.0,65.13,-140.35,-0.56
