month,trades,wins,losses,win_rate_pct,gross_premium,net_pnl,ret_on_initial_account_pct
2026-01,19,0,19,0.0,2108.2,-7570.94,-30.28
2026-02,9,0,9,0.0,1193.95,-4474.97,-17.9
2026-03,2,0,2,0.0,356.17,-1096.52,-4.39
