month,trades,wins,losses,win_rate_pct,gross_premium,net_pnl,ret_on_account_pct
2026-01,20,19,1,95.0,5843.89,4158.78,16.64
2026-02,15,10,5,66.7,5310.45,512.08,1.76
2026-03,9,5,4,55.6,4190.16,1200.93,4.05
2026-04,20,18,2,90.0,7676.56,6286.5,20.36
2026-05,20,20,0,100.0,7066.19,6428.19,17.3
2026-06,15,10,5,66.7,5266.37,523.47,1.2
2026-07,22,19,3,86.4,7703.07,5208.94,11.81
2026-08,16,15,1,93.8,5224.29,2825.27,5.73
