month,trades,wins,losses,win_rate_pct,gross_premium,net_pnl,ret_on_initial_account_pct
2026-01,19,0,19,0.0,441.16,-5012.93,-20.05
2026-02,18,0,18,0.0,543.23,-6744.56,-26.98
2026-03,3,0,3,0.0,135.47,-1107.0,-4.43
