month,trades,wins,losses,win_rate_pct,gross_premium,net_pnl,ret_on_initial_account_pct
2026-01,19,7,12,36.8,2111.23,-506.72,-2.03
2026-02,18,3,15,16.7,2434.8,-1751.52,-7.01
2026-03,22,11,11,50.0,3760.86,-130.5,-0.52
2026-04,21,13,8,61.9,2932.65,295.41,1.18
2026-05,20,10,10,50.0,2598.25,-177.5,-0.71
2026-06,21,4,17,19.0,2789.11,-1920.63,-7.68
2026-07,22,11,11,50.0,2844.55,-411.42,-1.65
2026-08,18,13,5,72.2,2197.35,243.71,0.97
